CMPD_CHEMBLID	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	STANDARD_TYPE	STANDARD_VALUE	STANDARD_UNITS
CHEMBL2163458	770.88	-0.88	288.33	2	NCCCC[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H]2CCCN2C(=O)NNC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)[C@@H](N)Cc5cnc[nH]5)C(=O)N	IC50	10000	nM
CHEMBL2163462	823.94	-0.61	295.33	2	C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N6CCCN6C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL294408	530.64	-0.35	150.64	1	CS(=O)(=O)N1CC2(CCN(CC2)C(=O)[C@@H](COCc3ccccc3)NC(=O)[C@@H](N)CO)c4ccccc14.OC(=O)C(F)(F)F	IC50	209	nM
CHEMBL335799	521.61	-0.06	202.94	2	CCCCCCCC(=O)OC[C@H](NC(=O)[C@H](CO)NC(=O)CN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N	IC50	889	nM
CHEMBL61292	623.76	0.05	196.82	1	CCCCCCCC(=O)OC[C@@H](NC(=O)[C@H](CO)NC(=O)CN)C(=O)N1CCC2(CC1)CN(c3ccccc23)S(=O)(=O)C.OC(=O)C(F)(F)F	IC50	128	nM
CHEMBL58758	623.76	0.05	196.82	1	CCCCCCCC(=O)OC[C@H](NC(=O)[C@H](CO)NC(=O)CN)C(=O)N1CCC2(CC1)CN(c3ccccc23)S(=O)(=O)C.OC(=O)C(F)(F)F	IC50	2670	nM
CHEMBL2163450	800.95	0.2	288.33	2	CC(C)CN(NC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](Cc4ccccc4)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL2163451	800.95	0.2	288.33	2	CC(C)CN(NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)N[C@@H](C)C(=O)N[C@H](Cc4ccccc4)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL2163479	800.95	0.2	288.33	2	CC(C)CN(NC(=O)[C@H](C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)N[C@H](Cc4ccccc4)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	19500	nM
CHEMBL447282	620.74	0.26	232.03	2	CCCCCCC(=O)OC[C@H](NC(=O)[C@H](CO)NC(=O)CN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N	IC50	55000	nM
CHEMBL2163472	850.97	0.35	308.56	2	C[C@H](NC(=O)N(Cc1ccc(O)cc1)NC(=O)C(N)Cc2cnc[nH]2)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@H](Cc5ccccc5)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	8530	nM
CHEMBL2163484	850.97	0.35	308.56	2	C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)NN(Cc4ccc(O)cc4)C(=O)N[C@H](Cc5ccccc5)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	15700	nM
CHEMBL2163443	793.87	0.43	282.54	2	C[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](C)NC(=O)N(Cc4ccc(O)cc4)NC(=O)[C@@H](N)Cc5cnc[nH]5)C(=O)N	IC50	10000	nM
CHEMBL2163348	849.98	0.5	305.32	2	C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)N[C@@H](Cc4ccc(O)cc4)C(=O)N[C@H](Cc5ccccc5)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	771	nM
CHEMBL2163483	849.98	0.5	305.32	2	C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)N[C@H](Cc4ccc(O)cc4)C(=O)N[C@H](Cc5ccccc5)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	3250	nM
CHEMBL2163452	839.99	0.5	304.12	2	CC(C)CN(NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N[C@H](C)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL2163478	834.97	0.6	288.33	2	C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)NN(Cc4ccccc4)C(=O)N[C@H](Cc5ccccc5)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	2770	nM
CHEMBL2163471	834.97	0.6	288.33	2	C[C@H](NC(=O)N(Cc1ccccc1)NC(=O)C(N)Cc2cnc[nH]2)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@H](Cc5ccccc5)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	16100	nM
CHEMBL2163476	859.98	0.66	312.91	2	NCCCC[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)NNC(=O)[C@@H](Cc4c[nH]c5ccccc45)NC(=O)[C@@H](N)Cc6cnc[nH]6)C(=O)N	IC50	808	nM
CHEMBL2163457	777.87	0.67	262.32	2	C[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)N(Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)[C@@H](N)Cc5cnc[nH]5)C(=O)N	IC50	10000	nM
CHEMBL2163439	777.87	0.67	262.32	2	C[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](C)NC(=O)N(Cc4ccccc4)NC(=O)[C@@H](N)Cc5cnc[nH]5)C(=O)N	IC50	51000	nM
CHEMBL281147	515.61	0.7	156.93	2	NC1(CCNCC1)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](Cc4c[nH]c5ccccc45)NC=O	IC50	337	nM
CHEMBL281147	515.61	0.7	156.93	2	NC1(CCNCC1)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](Cc4c[nH]c5ccccc45)NC=O	IC50	1791	nM
CHEMBL422461	634.76	0.72	232.04	2	CCCCCCCC(=O)OC[C@H](NC(=O)[C@H](CO)NC(=O)CN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N	IC50	55	nM
CHEMBL2163448	802.88	0.73	286.89	2	C[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)NNC(=O)[C@@H](Cc4c[nH]c5ccccc45)NC(=O)[C@@H](N)Cc6cnc[nH]6)C(=O)N	IC50	45000	nM
CHEMBL434391	529.63	0.78	156.93	2	CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C5(N)CCNCC5	IC50	807	nM
CHEMBL13817	528.66	0.85	130.42	1	CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N2CCC3(CC2)CN(c4ccccc34)S(=O)(=O)C	IC50	0.4	nM
CHEMBL13817	528.66	0.85	130.42	1	CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N2CCC3(CC2)CN(c4ccccc34)S(=O)(=O)C	IC50	0.51	nM
CHEMBL13817	528.66	0.85	130.42	1	CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N2CCC3(CC2)CN(c4ccccc34)S(=O)(=O)C	IC50	0.63	nM
CHEMBL13817	528.66	0.85	130.42	1	CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N2CCC3(CC2)CN(c4ccccc34)S(=O)(=O)C	IC50	0.76	nM
CHEMBL13817	528.66	0.85	130.42	1	CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N2CCC3(CC2)CN(c4ccccc34)S(=O)(=O)C	IC50	32	nM
CHEMBL13817	528.66	0.85	130.42	1	CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N2CCC3(CC2)CN(c4ccccc34)S(=O)(=O)C	IC50	300	nM
CHEMBL2163440	784.9	0.91	279.89	2	C[C@H](N)C(=O)NN(Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](Cc4ccccc4)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL434649	506.59	0.91	176.92	1	CCCCCCCC(=O)OC[C@H](NC(=O)[C@H](CO)NC(=O)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N	IC50	10000	nM
CHEMBL2163474	848.99	0.92	288.33	2	C[C@H](NC(=O)N(CCc1ccccc1)NC(=O)C(N)Cc2cnc[nH]2)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@H](Cc5ccccc5)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	729	nM
CHEMBL2163481	848.99	0.92	288.33	2	C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)NN(CCc4ccccc4)C(=O)N[C@H](Cc5ccccc5)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	3740	nM
CHEMBL2163460	900.04	0.95	295.33	2	NCCCC[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)N4CCCN4C(=O)[C@@H](Cc5c[nH]c6ccccc56)NC(=O)[C@@H](N)Cc7cnc[nH]7)C(=O)N	IC50	10000	nM
CHEMBL291333	566.71	0.99	167.72	1	CCCCCCCC(=O)OC[C@@H](NC(=O)[C@@H](N)CO)C(=O)N1CCC2(CC1)CN(c3ccccc23)S(=O)(=O)C.OC(=O)C(F)(F)F	IC50	828.5	nM
CHEMBL449590	878.03	1.03	283.48	2	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](Cc4c[nH]c5ccccc45)NC(=O)[C@@H](N)CC(=O)O)C(=O)N	IC50	60	nM
CHEMBL449590	878.03	1.03	283.48	2	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](Cc4c[nH]c5ccccc45)NC(=O)[C@@H](N)CC(=O)O)C(=O)N	IC50	260	nM
CHEMBL444131	650.73	1.15	217.09	2	N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@H](Cc4c[nH]c5ccccc45)C(=O)NCC(=O)NCC(=O)N	IC50	159	nM
CHEMBL444131	650.73	1.15	217.09	2	N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@H](Cc4c[nH]c5ccccc45)C(=O)NCC(=O)NCC(=O)N	IC50	540	nM
CHEMBL2163454	768.9	1.15	259.65	2	C[C@H](N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)NN(Cc3ccccc3)C(=O)N[C@H](Cc4ccccc4)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL2163485	768.9	1.15	259.65	2	C[C@H](N)C(=O)NN(Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](Cc4ccccc4)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL105462	873.01	1.17	300.89	2	C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3c[nH]cn3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N[C@H](Cc6ccccc6)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	6.08	nM
CHEMBL433540	873.01	1.17	300.89	2	C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3c[nH]cn3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N[C@H](Cc6ccccc6)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	13.2	nM
CHEMBL105462	873.01	1.17	300.89	2	C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3c[nH]cn3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N[C@H](Cc6ccccc6)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	6000	nM
CHEMBL113313	505.61	1.18	117.32	1	CN1N=C2CCN(C[C@@]2(Cc3ccccc3)C1=O)C(=O)[C@@H](COCc4ccccc4)NC(=O)C(C)(C)N	IC50	3000	nM
CHEMBL2163444	793.91	1.21	284.23	2	C[C@H](N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NNC(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@H](Cc5ccccc5)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	568	nM
CHEMBL108335	887.04	1.32	300.88	2	C[C@H](NC(=O)[C@@H](Cc1c(C)[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3c[nH]cn3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N[C@H](Cc6ccccc6)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	15.9	nM
CHEMBL108335	887.04	1.32	300.88	2	C[C@H](NC(=O)[C@@H](Cc1c(C)[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3c[nH]cn3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N[C@H](Cc6ccccc6)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	18	nM
CHEMBL205955	398.48	1.38	158.38	0	CS(=O)(=O)c1ccc(CNc2ccc(cc2)c3c(N)nc(N)nc3CN)cc1	IC50	634	nM
CHEMBL205955	398.48	1.38	158.38	0	CS(=O)(=O)c1ccc(CNc2ccc(cc2)c3c(N)nc(N)nc3CN)cc1	IC50	7160	nM
CHEMBL2163468	640.74	1.49	219.91	2	CC(C)CN(NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N	IC50	85600	nM
CHEMBL2163473	885.02	1.5	288.33	2	C[C@H](NC(=O)N(Cc1cccc2ccccc12)NC(=O)C(N)Cc3cnc[nH]3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N[C@H](Cc6ccccc6)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	465	nM
CHEMBL2163482	885.02	1.5	288.33	2	C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)NN(Cc4cccc5ccccc45)C(=O)N[C@H](Cc6ccccc6)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	723	nM
CHEMBL320289	897.16	1.54	255.04	2	CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N2CCC3(CC2)CN(c4ccccc34)S(=O)(=O)CC(=O)NCCCCCCNC(=O)CCCC[C@@H]5SCC6NC(=O)NC56	IC50	0.2	nM
CHEMBL2011888	450.53	1.57	99.77	0	CC(C)[C@@H](N1CC(=O)Nc2ccc(Oc3ccccc3)cc2C1=O)C(=O)NC4CCNCC4	IC50	10000	nM
CHEMBL136092	619.75	1.68	206.02	2	CCCCCCCC(=O)OC[C@H](NC(=O)[C@H](CO)NC(=O)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N	IC50	2000	nM
CHEMBL2048819	461.58	1.71	99.8	0	Cc1cn2cc(CC(=O)N3CCC4(CC3)CN(Cc5ccc(cc5)n6nccn6)C4)nc2s1	IC50	25	nM
CHEMBL1079323	390.5	1.79	121.7	0	CCNC(=O)Nc1ccc(cc1)S(=O)(=O)Nc2ccc(CC(C)(C)N)cc2	IC50	5615	nM
CHEMBL205847	412.51	1.81	144.39	0	CNCc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)S(=O)(=O)C)cc2	IC50	279	nM
CHEMBL205847	412.51	1.81	144.39	0	CNCc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)S(=O)(=O)C)cc2	IC50	1380	nM
CHEMBL278623	474.55	1.85	144.89	1	CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)NC=O	IC50	22.9	nM
CHEMBL278623	474.55	1.85	144.89	1	CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)NC=O	IC50	123	nM
CHEMBL211581	363.41	1.86	116.15	0	CC(=O)Nc1ccc(cc1)c2c(N)nc(N)nc2COCc3ccccc3	IC50	2270	nM
CHEMBL211581	363.41	1.86	116.15	0	CC(=O)Nc1ccc(cc1)c2c(N)nc(N)nc2COCc3ccccc3	IC50	10000	nM
CHEMBL19220	488.58	1.93	144.9	1	CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C(C)(C)N	IC50	228	nM
CHEMBL19220	488.58	1.93	144.9	1	CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C(C)(C)N	IC50	3852	nM
CHEMBL2048822	472.61	1.98	94.86	0	Cc1cn2cc(CC(=O)N3CCC4(CC3)CN(Cc5ccc(cc5)c6ncccn6)C4)nc2s1	IC50	90	nM
CHEMBL2163477	916.08	2.05	304.12	2	CC(C)CN(NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N[C@H](Cc6ccccc6)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	1200	nM
CHEMBL377515	413.49	2.07	141.59	0	COCc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)S(=O)(=O)C)cc2	IC50	7.5	nM
CHEMBL377515	413.49	2.07	141.59	0	COCc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)S(=O)(=O)C)cc2	IC50	53	nM
CHEMBL18872	502.61	2.08	158.89	2	Cc1[nH]c2ccccc2c1C[C@@H](NC(=O)[C@@H](Cc3c(C)[nH]c4ccccc34)NC(=O)C(C)(C)N)C(=O)N	IC50	62.9	nM
CHEMBL282891	500.59	2.11	130.91	2	O=CN[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C5CCNCC5	IC50	1.155	nM
CHEMBL282891	500.59	2.11	130.91	2	O=CN[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C5CCNCC5	IC50	391	nM
CHEMBL2163480	911.06	2.11	288.33	2	C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)NN(Cc4ccc(cc4)c5ccccc5)C(=O)N[C@H](Cc6ccccc6)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	1340	nM
CHEMBL2163475	911.06	2.11	288.33	2	C[C@H](NC(=O)N(Cc1ccc(cc1)c2ccccc2)NC(=O)C(N)Cc3cnc[nH]3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N[C@H](Cc6ccccc6)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	1640	nM
CHEMBL447444	678.78	2.12	217.09	2	C[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](N)Cc4c[nH]c5ccccc45)C(=O)N	IC50	1000	nM
CHEMBL447444	678.78	2.12	217.09	2	C[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](N)Cc4c[nH]c5ccccc45)C(=O)N	IC50	1000	nM
CHEMBL2163465	835.99	2.12	275.45	2	CC(C)CN(NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)CN)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@H](Cc5ccccc5)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	5410	nM
CHEMBL2163453	858.99	2.13	278.1	2	CC(C)CN(NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N[C@H](Cc6ccccc6)C(=O)N[C@@H](C)C(=O)N	IC50	8170	nM
CHEMBL1078115	404.53	2.17	121.7	0	CC(C)NC(=O)Nc1ccc(cc1)S(=O)(=O)Nc2ccc(CC(C)(C)N)cc2	IC50	846	nM
CHEMBL294324	564.74	2.19	147.49	1	CCCCCCCC(=O)OC[C@@H](NC(=O)C(C)(C)N)C(=O)N1CCC2(CC1)CN(c3ccccc23)S(=O)(=O)C.OC(=O)C(F)(F)F	IC50	8.12	nM
CHEMBL378118	419.48	2.19	125.38	0	Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NC(=O)C4CCCO4)cc3	IC50	391	nM
CHEMBL59572	564.74	2.19	147.49	1	CCCCCCCC(=O)OC[C@H](NC(=O)C(C)(C)N)C(=O)N1CCC2(CC1)CN(c3ccccc23)S(=O)(=O)C.OC(=O)C(F)(F)F	IC50	590.5	nM
CHEMBL18815	514.62	2.19	130.91	2	CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C5CCNCC5	IC50	807	nM
CHEMBL18815	514.62	2.19	130.91	2	CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C5CCNCC5	IC50	10000	nM
CHEMBL378118	419.48	2.19	125.38	0	Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NC(=O)C4CCCO4)cc3	IC50	10000	nM
CHEMBL275141	517.62	2.28	156.92	2	CCNC(=O)N[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C(C)(C)N	IC50	16.9	nM
